,Day1,NextDay
1,88.6,106
2,106,114.8
3,114.8,109
4,109,102.4
5,102.4,87.2
6,87.2,67.6
7,67.6,116.2
8,116.2,116
9,116,114.2
10,114.2,113.4
11,113.4,120.4
12,120.4,84.8
13,84.8,66.8
14,66.8,121.2
15,121.2,124.6
16,124.6,118.6
17,118.6,133.8
18,133.8,126.8
19,126.8,100.8
20,100.8,69.6
21,69.6,138.4
22,138.4,138.4
23,138.4,133.8
24,133.8,142.4
25,142.4,135.6
26,135.6,105.6
27,105.6,66.2
28,66.2,135.6
29,135.6,141
30,141,126.8
31,126.8,123.6
32,123.6,138
33,138,95.8
34,95.8,64
35,64,149.6
36,149.6,152.8
37,152.8,149.6
38,149.6,139.8
39,139.8,135.4
40,135.4,100.2
41,100.2,63.2
42,63.2,140.4
43,140.4,146.4
44,146.4,147.8
45,147.8,138.8
46,138.8,128.2
47,128.2,96
48,96,67
49,67,152.6
50,152.6,144.8
51,144.8,145.2
52,145.2,146.8
53,146.8,135.8
54,135.8,104.8
55,104.8,71.4
56,71.4,154.4
57,154.4,149.2
58,149.2,144
59,144,145.8
60,145.8,124.2
61,124.2,104
62,104,68.2
63,68.2,148.4
64,148.4,143.4
65,143.4,140.8
66,140.8,138.8
67,138.8,131.2
68,131.2,101.2
69,101.2,56
70,56,133.6
71,133.6,137.2
72,137.2,136
73,136,134.6
74,134.6,123
75,123,97.4
76,97.4,70.6
77,70.6,156.4
78,156.4,145.4
79,145.4,131.6
80,131.6,136.6
81,136.6,131.2
82,131.2,104.4
83,104.4,62.6
84,62.6,141
85,141,138.8
86,138.8,141.2
87,141.2,134.6
88,134.6,96.6
89,96.6,97.6
90,97.6,63.2
91,63.2,96
92,96,145
93,145,140.4
94,140.4,132.2
95,132.2,131.4
96,131.4,92.2
97,92.2,60.2
98,60.2,140.6
99,140.6,138
100,138,131
101,131,137.4
102,137.4,138
103,138,96
104,96,57.6
105,57.6,121.4
106,121.4,119.4
107,119.4,123.6
108,123.6,122.8
109,122.8,120.8
110,120.8,96
111,96,61
112,61,117.6
113,117.6,121.2
114,121.2,119.8
115,119.8,119.4
116,119.4,118.2
117,118.2,97
118,97,63.8
119,63.8,143
120,143,122.2
121,122.2,122.8
122,122.8,115.6
123,115.6,108
124,108,76.6
125,76.6,62
126,62,72.4
127,72.4,115.2
128,115.2,103.8
129,103.8,114
130,114,110.6
131,110.6,78
132,78,62.8
133,62.8,109.4
134,109.4,105.8
135,105.8,106
136,106,103.8
137,103.8,105.6
138,105.6,77.6
139,77.6,60.6
140,60.6,103.6
141,103.6,99.6
142,99.6,102.6
143,102.6,101.2
144,101.2,95
145,95,73.8
146,73.8,60.2
147,60.2,69.6
148,69.6,100.2
149,100.2,95.8
150,95.8,103.6
151,103.6,98.8
152,98.8,70.6
153,70.6,56.6
154,56.6,97.6
155,97.6,119.2
156,119.2,103.8
157,103.8,93.2
158,93.2,96
159,96,72.8
160,72.8,56.4
161,56.4,99.4
162,99.4,96.6
163,96.6,104.8
164,104.8,100.4
165,100.4,98.2
166,98.2,84.2
167,84.2,57.4
168,57.4,100.4
169,100.4,106.4
170,106.4,93.8
171,93.8,103.2
172,103.2,98.6
173,98.6,75.8
174,75.8,64.6
175,64.6,108.6
176,108.6,112.6
177,112.6,109.6
178,109.6,105.2
179,105.2,103
180,103,78.4
181,78.4,62.6
182,62.6,117.6
183,117.6,99.2
184,99.2,99.8
185,99.8,102.2
186,102.2,105.8
187,105.8,70.6
188,70.6,65.4
189,65.4,109.8
190,109.8,87.4
191,87.4,98.4
192,98.4,100
193,100,90.8
194,90.8,73.2
195,73.2,67.6
196,67.6,113.6
197,113.6,102.8
198,102.8,96
199,96,100.4
200,100.4,99.2
201,99.2,73.8
202,73.8,65.6
203,65.6,119.2
204,119.2,111.8
205,111.8,111.6
206,111.6,115.8
207,115.8,106
208,106,67.6
209,67.6,61.8
210,61.8,100.2
211,100.2,95.2
212,95.2,114.8
213,114.8,95.4
214,95.4,96.2
215,96.2,71.2
216,71.2,64.6
217,64.6,99.2
218,99.2,105
219,105,96
220,96,102.6
221,102.6,87.8
222,87.8,68.2
223,68.2,62
224,62,93.4
225,93.4,99.4
226,99.4,97
227,97,104.8
228,104.8,96.8
229,96.8,70.2
230,70.2,57.6
231,57.6,94.6
232,94.6,98.4
233,98.4,92
234,92,91.2
235,91.2,86.2
236,86.2,62.6
237,62.6,53.8
238,53.8,62
239,62,80
240,80,82.6
241,82.6,77.4
242,77.4,77.4
243,77.4,65.2
244,65.2,54.4
245,54.4,91.6
246,91.6,86.8
247,86.8,89.6
248,89.6,94.2
249,94.2,95.2
250,95.2,76.2
251,76.2,55
252,55,93
253,93,92.6
254,92.6,92.8
255,92.8,100.2
256,100.2,92.8
257,92.8,76.2
258,76.2,58.8
259,58.8,104
260,104,107.2
261,107.2,113.8
262,113.8,110
263,110,113.4
264,113.4,77.2
265,77.2,56.2
266,56.2,120.2
267,120.2,119
268,119,110.6
269,110.6,114.2
270,114.2,105.8
271,105.8,75
272,75,57.2
273,57.2,120.4
274,120.4,110.2
275,110.2,126
276,126,118
277,118,108.8
278,108.8,76.2
279,76.2,51.8
280,51.8,128.4
281,128.4,117.4
282,117.4,136.8
283,136.8,135.6
284,135.6,122.4
285,122.4,105.8
286,105.8,55.8
287,55.8,122.8
288,122.8,134
289,134,127
290,127,123.8
291,123.8,127.2
292,127.2,85.2
293,85.2,61.6
294,61.6,118.8
295,118.8,123.6
296,123.6,112.4
297,112.4,115.8
298,115.8,114.8
299,114.8,81.6
300,81.6,63.8
301,63.8,109.2
302,109.2,123.6
303,123.6,117.8
304,117.8,115.2
305,115.2,105.8
306,105.8,84.6
307,84.6,72.8
308,72.8,116.8
309,116.8,118
310,118,112.8
311,112.8,108
312,108,112
313,112,87.8
314,87.8,57.2
315,57.2,116.4
316,116.4,116.4
317,116.4,111.4
318,111.4,114.2
319,114.2,114.8
320,114.8,75.2
321,75.2,60.4
322,60.4,124.4
323,124.4,128.6
324,128.6,131.6
325,131.6,132
326,132,119.6
327,119.6,82.2
328,82.2,61
329,61,129.8
330,129.8,134.8
331,134.8,124.6
332,124.6,107.6
333,107.6,112.4
334,112.4,85.8
335,85.8,61.2
336,61.2,117
337,117,123.6
338,123.6,117.4
339,117.4,115.8
340,115.8,116.4
341,116.4,81.8
342,81.8,63
343,63,130.6
344,130.6,118.4
345,118.4,122.4
346,122.4,125
347,125,129.4
348,129.4,91
349,91,64.6
350,64.6,102.8
351,102.8,104.4
352,104.4,103.4
353,103.4,98.8
354,98.8,96.6
355,96.6,68.4
356,68.4,54.2
357,54.2,78.6
358,78.6,77.2
359,77.2,73
360,73,78.4
361,78.4,79.4
362,79.4,70.4
363,70.4,59.6
364,59.6,77.4
365,77.4,80.2
366,80.2,111.6
367,111.6,113.8
368,113.8,108.6
369,108.6,79.6
370,79.6,62.4
371,62.4,108.8
372,108.8,105
373,105,118.4
374,118.4,110.2
375,110.2,112.2
376,112.2,87.6
377,87.6,65.8
378,65.8,110
379,110,105.8
380,105.8,106
381,106,115
382,115,116.4
383,116.4,95.8
384,95.8,68.4
385,68.4,139
386,139,135.8
387,135.8,128.2
388,128.2,136
389,136,105
390,105,91.6
391,91.6,67.8
392,67.8,139.2
393,139.2,135.2
394,135.2,125.8
395,125.8,136
396,136,111.4
397,111.4,87.2
398,87.2,71.6
399,71.6,134.8
400,134.8,125
401,125,119.8
402,119.8,119.2
403,119.2,120.2
404,120.2,96.8
405,96.8,65.8
406,65.8,119
407,119,133
408,133,118.8
409,118.8,117.2
410,117.2,113.8
411,113.8,84.6
412,84.6,55
413,55,101.4
414,101.4,107.2
415,107.2,101.4
416,101.4,106.8
417,106.8,101
418,101,78.4
419,78.4,57
420,57,98.4
421,98.4,102.4
422,102.4,109
423,109,111.6
424,111.6,104
425,104,82.2
426,82.2,58.6
427,58.6,116
428,116,112.6
429,112.6,108.6
430,108.6,107.2
431,107.2,103
432,103,81
433,81,53.2
434,53.2,113.6
435,113.6,100.8
436,100.8,124
437,124,124.8
438,124.8,119
439,119,89.4
440,89.4,58.2
441,58.2,133.8
442,133.8,124
443,124,126.2
444,126.2,121.8
445,121.8,123.8
446,123.8,95.6
447,95.6,54.2
448,54.2,125.8
449,125.8,128.2
450,128.2,116.2
451,116.2,123.8
452,123.8,112.8
453,112.8,106.4
454,106.4,51.4
455,51.4,129.4
456,129.4,137
457,137,132.4
458,132.4,140.8
459,140.8,125.2
460,125.2,94
461,94,55.4
462,55.4,137.8
463,137.8,127.2
464,127.2,131
465,131,132
466,132,127.8
467,127.8,100.2
468,100.2,53.6
469,53.6,108.4
470,108.4,120
471,120,106.8
472,106.8,103
473,103,89.6
474,89.6,88.4
475,88.4,48.2
476,48.2,103.4
477,103.4,125.6
478,125.6,100
479,100,98.2
480,98.2,92.4
481,92.4,80.8
482,80.8,51.8
483,51.8,111.2
484,111.2,108.4
485,108.4,105.8
486,105.8,103
487,103,106.4
488,106.4,78.8
489,78.8,53.6
490,53.6,78.4
491,78.4,106.4
492,106.4,115.2
493,115.2,108.6
494,108.6,96.2
495,96.2,82
496,82,52.8
497,52.8,100.8
498,100.8,107.6
499,107.6,76.2
