,Day1,Day2,Day3,NextDay
1,88.6,106,114.8,109
2,106,114.8,109,102.4
3,114.8,109,102.4,87.2
4,109,102.4,87.2,67.6
5,102.4,87.2,67.6,116.2
6,87.2,67.6,116.2,116
7,67.6,116.2,116,114.2
8,116.2,116,114.2,113.4
9,116,114.2,113.4,120.4
10,114.2,113.4,120.4,84.8
11,113.4,120.4,84.8,66.8
12,120.4,84.8,66.8,121.2
13,84.8,66.8,121.2,124.6
14,66.8,121.2,124.6,118.6
15,121.2,124.6,118.6,133.8
16,124.6,118.6,133.8,126.8
17,118.6,133.8,126.8,100.8
18,133.8,126.8,100.8,69.6
19,126.8,100.8,69.6,138.4
20,100.8,69.6,138.4,138.4
21,69.6,138.4,138.4,133.8
22,138.4,138.4,133.8,142.4
23,138.4,133.8,142.4,135.6
24,133.8,142.4,135.6,105.6
25,142.4,135.6,105.6,66.2
26,135.6,105.6,66.2,135.6
27,105.6,66.2,135.6,141
28,66.2,135.6,141,126.8
29,135.6,141,126.8,123.6
30,141,126.8,123.6,138
31,126.8,123.6,138,95.8
32,123.6,138,95.8,64
33,138,95.8,64,149.6
34,95.8,64,149.6,152.8
35,64,149.6,152.8,149.6
36,149.6,152.8,149.6,139.8
37,152.8,149.6,139.8,135.4
38,149.6,139.8,135.4,100.2
39,139.8,135.4,100.2,63.2
40,135.4,100.2,63.2,140.4
41,100.2,63.2,140.4,146.4
42,63.2,140.4,146.4,147.8
43,140.4,146.4,147.8,138.8
44,146.4,147.8,138.8,128.2
45,147.8,138.8,128.2,96
46,138.8,128.2,96,67
47,128.2,96,67,152.6
48,96,67,152.6,144.8
49,67,152.6,144.8,145.2
50,152.6,144.8,145.2,146.8
51,144.8,145.2,146.8,135.8
52,145.2,146.8,135.8,104.8
53,146.8,135.8,104.8,71.4
54,135.8,104.8,71.4,154.4
55,104.8,71.4,154.4,149.2
56,71.4,154.4,149.2,144
57,154.4,149.2,144,145.8
58,149.2,144,145.8,124.2
59,144,145.8,124.2,104
60,145.8,124.2,104,68.2
61,124.2,104,68.2,148.4
62,104,68.2,148.4,143.4
63,68.2,148.4,143.4,140.8
64,148.4,143.4,140.8,138.8
65,143.4,140.8,138.8,131.2
66,140.8,138.8,131.2,101.2
67,138.8,131.2,101.2,56
68,131.2,101.2,56,133.6
69,101.2,56,133.6,137.2
70,56,133.6,137.2,136
71,133.6,137.2,136,134.6
72,137.2,136,134.6,123
73,136,134.6,123,97.4
