,Day1,Day2,Day3,Day4,NextDay
1,88.6,106,114.8,109,102.4
2,106,114.8,109,102.4,87.2
3,114.8,109,102.4,87.2,67.6
4,109,102.4,87.2,67.6,116.2
5,102.4,87.2,67.6,116.2,116
6,87.2,67.6,116.2,116,114.2
7,67.6,116.2,116,114.2,113.4
8,116.2,116,114.2,113.4,120.4
9,116,114.2,113.4,120.4,84.8
10,114.2,113.4,120.4,84.8,66.8
11,113.4,120.4,84.8,66.8,121.2
12,120.4,84.8,66.8,121.2,124.6
13,84.8,66.8,121.2,124.6,118.6
14,66.8,121.2,124.6,118.6,133.8
15,121.2,124.6,118.6,133.8,126.8
16,124.6,118.6,133.8,126.8,100.8
17,118.6,133.8,126.8,100.8,69.6
18,133.8,126.8,100.8,69.6,138.4
19,126.8,100.8,69.6,138.4,138.4
20,100.8,69.6,138.4,138.4,133.8
21,69.6,138.4,138.4,133.8,142.4
22,138.4,138.4,133.8,142.4,135.6
23,138.4,133.8,142.4,135.6,105.6
24,133.8,142.4,135.6,105.6,66.2
25,142.4,135.6,105.6,66.2,135.6
26,135.6,105.6,66.2,135.6,141
27,105.6,66.2,135.6,141,126.8
28,66.2,135.6,141,126.8,123.6
29,135.6,141,126.8,123.6,138
30,141,126.8,123.6,138,95.8
31,126.8,123.6,138,95.8,64
32,123.6,138,95.8,64,149.6
33,138,95.8,64,149.6,152.8
34,95.8,64,149.6,152.8,149.6
35,64,149.6,152.8,149.6,139.8
36,149.6,152.8,149.6,139.8,135.4
37,152.8,149.6,139.8,135.4,100.2
38,149.6,139.8,135.4,100.2,63.2
39,139.8,135.4,100.2,63.2,140.4
40,135.4,100.2,63.2,140.4,146.4
41,100.2,63.2,140.4,146.4,147.8
42,63.2,140.4,146.4,147.8,138.8
43,140.4,146.4,147.8,138.8,128.2
44,146.4,147.8,138.8,128.2,96
45,147.8,138.8,128.2,96,67
46,138.8,128.2,96,67,152.6
47,128.2,96,67,152.6,144.8
48,96,67,152.6,144.8,145.2
49,67,152.6,144.8,145.2,146.8
50,152.6,144.8,145.2,146.8,135.8
51,144.8,145.2,146.8,135.8,104.8
52,145.2,146.8,135.8,104.8,71.4
53,146.8,135.8,104.8,71.4,154.4
54,135.8,104.8,71.4,154.4,149.2
55,104.8,71.4,154.4,149.2,144
56,71.4,154.4,149.2,144,145.8
57,154.4,149.2,144,145.8,124.2
58,149.2,144,145.8,124.2,104
59,144,145.8,124.2,104,68.2
60,145.8,124.2,104,68.2,148.4
61,124.2,104,68.2,148.4,143.4
62,104,68.2,148.4,143.4,140.8
63,68.2,148.4,143.4,140.8,138.8
64,148.4,143.4,140.8,138.8,131.2
65,143.4,140.8,138.8,131.2,101.2
66,140.8,138.8,131.2,101.2,56
67,138.8,131.2,101.2,56,133.6
68,131.2,101.2,56,133.6,137.2
69,101.2,56,133.6,137.2,136
70,56,133.6,137.2,136,134.6
71,133.6,137.2,136,134.6,123
72,137.2,136,134.6,123,97.4
73,136,134.6,123,97.4,70.6
74,134.6,123,97.4,70.6,156.4
75,123,97.4,70.6,156.4,145.4
76,97.4,70.6,156.4,145.4,131.6
77,70.6,156.4,145.4,131.6,136.6
78,156.4,145.4,131.6,136.6,131.2
79,145.4,131.6,136.6,131.2,104.4
80,131.6,136.6,131.2,104.4,62.6
81,136.6,131.2,104.4,62.6,141
82,131.2,104.4,62.6,141,138.8
83,104.4,62.6,141,138.8,141.2
84,62.6,141,138.8,141.2,134.6
85,141,138.8,141.2,134.6,96.6
86,138.8,141.2,134.6,96.6,97.6
87,141.2,134.6,96.6,97.6,63.2
88,134.6,96.6,97.6,63.2,96
89,96.6,97.6,63.2,96,145
90,97.6,63.2,96,145,140.4
91,63.2,96,145,140.4,132.2
92,96,145,140.4,132.2,131.4
93,145,140.4,132.2,131.4,92.2
94,140.4,132.2,131.4,92.2,60.2
95,132.2,131.4,92.2,60.2,140.6
96,131.4,92.2,60.2,140.6,138
97,92.2,60.2,140.6,138,131
98,60.2,140.6,138,131,137.4
99,140.6,138,131,137.4,138
100,138,131,137.4,138,96
101,131,137.4,138,96,57.6
102,137.4,138,96,57.6,121.4
103,138,96,57.6,121.4,119.4
104,96,57.6,121.4,119.4,123.6
105,57.6,121.4,119.4,123.6,122.8
106,121.4,119.4,123.6,122.8,120.8
107,119.4,123.6,122.8,120.8,96
108,123.6,122.8,120.8,96,61
109,122.8,120.8,96,61,117.6
110,120.8,96,61,117.6,121.2
111,96,61,117.6,121.2,119.8
112,61,117.6,121.2,119.8,119.4
113,117.6,121.2,119.8,119.4,118.2
114,121.2,119.8,119.4,118.2,97
115,119.8,119.4,118.2,97,63.8
116,119.4,118.2,97,63.8,143
117,118.2,97,63.8,143,122.2
118,97,63.8,143,122.2,122.8
119,63.8,143,122.2,122.8,115.6
120,143,122.2,122.8,115.6,108
121,122.2,122.8,115.6,108,76.6
122,122.8,115.6,108,76.6,62
123,115.6,108,76.6,62,72.4
124,108,76.6,62,72.4,115.2
125,76.6,62,72.4,115.2,103.8
126,62,72.4,115.2,103.8,114
127,72.4,115.2,103.8,114,110.6
128,115.2,103.8,114,110.6,78
129,103.8,114,110.6,78,62.8
130,114,110.6,78,62.8,109.4
131,110.6,78,62.8,109.4,105.8
132,78,62.8,109.4,105.8,106
133,62.8,109.4,105.8,106,103.8
134,109.4,105.8,106,103.8,105.6
135,105.8,106,103.8,105.6,77.6
136,106,103.8,105.6,77.6,60.6
137,103.8,105.6,77.6,60.6,103.6
138,105.6,77.6,60.6,103.6,99.6
139,77.6,60.6,103.6,99.6,102.6
140,60.6,103.6,99.6,102.6,101.2
141,103.6,99.6,102.6,101.2,95
142,99.6,102.6,101.2,95,73.8
143,102.6,101.2,95,73.8,60.2
144,101.2,95,73.8,60.2,69.6
145,95,73.8,60.2,69.6,100.2
146,73.8,60.2,69.6,100.2,95.8
147,60.2,69.6,100.2,95.8,103.6
148,69.6,100.2,95.8,103.6,98.8
149,100.2,95.8,103.6,98.8,70.6
150,95.8,103.6,98.8,70.6,56.6
151,103.6,98.8,70.6,56.6,97.6
152,98.8,70.6,56.6,97.6,119.2
153,70.6,56.6,97.6,119.2,103.8
154,56.6,97.6,119.2,103.8,93.2
155,97.6,119.2,103.8,93.2,96
156,119.2,103.8,93.2,96,72.8
157,103.8,93.2,96,72.8,56.4
158,93.2,96,72.8,56.4,99.4
159,96,72.8,56.4,99.4,96.6
160,72.8,56.4,99.4,96.6,104.8
161,56.4,99.4,96.6,104.8,100.4
162,99.4,96.6,104.8,100.4,98.2
163,96.6,104.8,100.4,98.2,84.2
164,104.8,100.4,98.2,84.2,57.4
165,100.4,98.2,84.2,57.4,100.4
166,98.2,84.2,57.4,100.4,106.4
167,84.2,57.4,100.4,106.4,93.8
168,57.4,100.4,106.4,93.8,103.2
169,100.4,106.4,93.8,103.2,98.6
170,106.4,93.8,103.2,98.6,75.8
171,93.8,103.2,98.6,75.8,64.6
172,103.2,98.6,75.8,64.6,108.6
173,98.6,75.8,64.6,108.6,112.6
174,75.8,64.6,108.6,112.6,109.6
175,64.6,108.6,112.6,109.6,105.2
176,108.6,112.6,109.6,105.2,103
177,112.6,109.6,105.2,103,78.4
178,109.6,105.2,103,78.4,62.6
179,105.2,103,78.4,62.6,117.6
180,103,78.4,62.6,117.6,99.2
181,78.4,62.6,117.6,99.2,99.8
182,62.6,117.6,99.2,99.8,102.2
183,117.6,99.2,99.8,102.2,105.8
184,99.2,99.8,102.2,105.8,70.6
185,99.8,102.2,105.8,70.6,65.4
186,102.2,105.8,70.6,65.4,109.8
187,105.8,70.6,65.4,109.8,87.4
188,70.6,65.4,109.8,87.4,98.4
189,65.4,109.8,87.4,98.4,100
190,109.8,87.4,98.4,100,90.8
191,87.4,98.4,100,90.8,73.2
192,98.4,100,90.8,73.2,67.6
193,100,90.8,73.2,67.6,113.6
194,90.8,73.2,67.6,113.6,102.8
195,73.2,67.6,113.6,102.8,96
196,67.6,113.6,102.8,96,100.4
197,113.6,102.8,96,100.4,99.2
198,102.8,96,100.4,99.2,73.8
199,96,100.4,99.2,73.8,65.6
200,100.4,99.2,73.8,65.6,119.2
201,99.2,73.8,65.6,119.2,111.8
202,73.8,65.6,119.2,111.8,111.6
203,65.6,119.2,111.8,111.6,115.8
204,119.2,111.8,111.6,115.8,106
205,111.8,111.6,115.8,106,67.6
206,111.6,115.8,106,67.6,61.8
207,115.8,106,67.6,61.8,100.2
208,106,67.6,61.8,100.2,95.2
209,67.6,61.8,100.2,95.2,114.8
210,61.8,100.2,95.2,114.8,95.4
211,100.2,95.2,114.8,95.4,96.2
212,95.2,114.8,95.4,96.2,71.2
213,114.8,95.4,96.2,71.2,64.6
214,95.4,96.2,71.2,64.6,99.2
215,96.2,71.2,64.6,99.2,105
216,71.2,64.6,99.2,105,96
217,64.6,99.2,105,96,102.6
218,99.2,105,96,102.6,87.8
219,105,96,102.6,87.8,68.2
220,96,102.6,87.8,68.2,62
221,102.6,87.8,68.2,62,93.4
222,87.8,68.2,62,93.4,99.4
223,68.2,62,93.4,99.4,97
224,62,93.4,99.4,97,104.8
225,93.4,99.4,97,104.8,96.8
226,99.4,97,104.8,96.8,70.2
227,97,104.8,96.8,70.2,57.6
228,104.8,96.8,70.2,57.6,94.6
229,96.8,70.2,57.6,94.6,98.4
230,70.2,57.6,94.6,98.4,92
231,57.6,94.6,98.4,92,91.2
232,94.6,98.4,92,91.2,86.2
233,98.4,92,91.2,86.2,62.6
234,92,91.2,86.2,62.6,53.8
235,91.2,86.2,62.6,53.8,62
236,86.2,62.6,53.8,62,80
237,62.6,53.8,62,80,82.6
238,53.8,62,80,82.6,77.4
239,62,80,82.6,77.4,77.4
240,80,82.6,77.4,77.4,65.2
241,82.6,77.4,77.4,65.2,54.4
242,77.4,77.4,65.2,54.4,91.6
243,77.4,65.2,54.4,91.6,86.8
244,65.2,54.4,91.6,86.8,89.6
245,54.4,91.6,86.8,89.6,94.2
246,91.6,86.8,89.6,94.2,95.2
247,86.8,89.6,94.2,95.2,76.2
248,89.6,94.2,95.2,76.2,55
249,94.2,95.2,76.2,55,93
250,95.2,76.2,55,93,92.6
251,76.2,55,93,92.6,92.8
252,55,93,92.6,92.8,100.2
253,93,92.6,92.8,100.2,92.8
254,92.6,92.8,100.2,92.8,76.2
255,92.8,100.2,92.8,76.2,58.8
256,100.2,92.8,76.2,58.8,104
257,92.8,76.2,58.8,104,107.2
258,76.2,58.8,104,107.2,113.8
259,58.8,104,107.2,113.8,110
260,104,107.2,113.8,110,113.4
261,107.2,113.8,110,113.4,77.2
262,113.8,110,113.4,77.2,56.2
263,110,113.4,77.2,56.2,120.2
