,Day1_9,Day1_10,Day1_11,Day2_9,Day2_10,Day2_11,Day3_9,Day3_10,Day3_11,NextDay_9,NextDay_10,NextDay_11
1,89.4,90.6,88.6,108.2,104.6,106,110,111.6,114.8,106.4,104.4,109
2,108.2,104.6,106,110,111.6,114.8,106.4,104.4,109,97.8,100.4,102.4
3,110,111.6,114.8,106.4,104.4,109,97.8,100.4,102.4,87,90.8,87.2
4,106.4,104.4,109,97.8,100.4,102.4,87,90.8,87.2,68.8,67,67.6
5,97.8,100.4,102.4,87,90.8,87.2,68.8,67,67.6,110.2,113,116.2
6,87,90.8,87.2,68.8,67,67.6,110.2,113,116.2,111.2,119.2,116
7,68.8,67,67.6,110.2,113,116.2,111.2,119.2,116,109,114.6,114.2
8,110.2,113,116.2,111.2,119.2,116,109,114.6,114.2,99.8,109,113.4
9,111.2,119.2,116,109,114.6,114.2,99.8,109,113.4,111,114.8,120.4
10,109,114.6,114.2,99.8,109,113.4,111,114.8,120.4,88.4,89.6,84.8
11,99.8,109,113.4,111,114.8,120.4,88.4,89.6,84.8,63.4,63.6,66.8
12,111,114.8,120.4,88.4,89.6,84.8,63.4,63.6,66.8,114.4,116.2,121.2
13,88.4,89.6,84.8,63.4,63.6,66.8,114.4,116.2,121.2,111.2,114.6,124.6
14,63.4,63.6,66.8,114.4,116.2,121.2,111.2,114.6,124.6,119.6,117.4,118.6
15,114.4,116.2,121.2,111.2,114.6,124.6,119.6,117.4,118.6,117.6,123.6,133.8
16,111.2,114.6,124.6,119.6,117.4,118.6,117.6,123.6,133.8,120.4,130.4,126.8
17,119.6,117.4,118.6,117.6,123.6,133.8,120.4,130.4,126.8,105,101.4,100.8
18,117.6,123.6,133.8,120.4,130.4,126.8,105,101.4,100.8,67.6,68,69.6
19,120.4,130.4,126.8,105,101.4,100.8,67.6,68,69.6,133.8,132.4,138.4
20,105,101.4,100.8,67.6,68,69.6,133.8,132.4,138.4,126,129,138.4
21,67.6,68,69.6,133.8,132.4,138.4,126,129,138.4,119.2,129.4,133.8
22,133.8,132.4,138.4,126,129,138.4,119.2,129.4,133.8,126.4,130.4,142.4
23,126,129,138.4,119.2,129.4,133.8,126.4,130.4,142.4,124.6,124,135.6
24,119.2,129.4,133.8,126.4,130.4,142.4,124.6,124,135.6,98,97.4,105.6
25,126.4,130.4,142.4,124.6,124,135.6,98,97.4,105.6,65.6,68.4,66.2
26,124.6,124,135.6,98,97.4,105.6,65.6,68.4,66.2,123.6,129.8,135.6
27,98,97.4,105.6,65.6,68.4,66.2,123.6,129.8,135.6,128.4,131.8,141
28,65.6,68.4,66.2,123.6,129.8,135.6,128.4,131.8,141,115.2,118.2,126.8
29,123.6,129.8,135.6,128.4,131.8,141,115.2,118.2,126.8,118,119.6,123.6
30,128.4,131.8,141,115.2,118.2,126.8,118,119.6,123.6,124.4,131,138
31,115.2,118.2,126.8,118,119.6,123.6,124.4,131,138,94.4,94.2,95.8
32,118,119.6,123.6,124.4,131,138,94.4,94.2,95.8,60.6,61.4,64
33,124.4,131,138,94.4,94.2,95.8,60.6,61.4,64,123.6,132,149.6
34,94.4,94.2,95.8,60.6,61.4,64,123.6,132,149.6,127.8,146.2,152.8
35,60.6,61.4,64,123.6,132,149.6,127.8,146.2,152.8,130.4,138.8,149.6
36,123.6,132,149.6,127.8,146.2,152.8,130.4,138.8,149.6,133.2,138,139.8
37,127.8,146.2,152.8,130.4,138.8,149.6,133.2,138,139.8,126.4,130,135.4
38,130.4,138.8,149.6,133.2,138,139.8,126.4,130,135.4,102.4,101,100.2
39,133.2,138,139.8,126.4,130,135.4,102.4,101,100.2,62,66.8,63.2
40,126.4,130,135.4,102.4,101,100.2,62,66.8,63.2,133,137.8,140.4
41,102.4,101,100.2,62,66.8,63.2,133,137.8,140.4,141.2,144.8,146.4
42,62,66.8,63.2,133,137.8,140.4,141.2,144.8,146.4,128,134.6,147.8
43,133,137.8,140.4,141.2,144.8,146.4,128,134.6,147.8,122.2,130,138.8
44,141.2,144.8,146.4,128,134.6,147.8,122.2,130,138.8,126.2,126,128.2
45,128,134.6,147.8,122.2,130,138.8,126.2,126,128.2,97.2,96.2,96
46,122.2,130,138.8,126.2,126,128.2,97.2,96.2,96,64,64.4,67
47,126.2,126,128.2,97.2,96.2,96,64,64.4,67,123,131,152.6
48,97.2,96.2,96,64,64.4,67,123,131,152.6,131.4,138.8,144.8
49,64,64.4,67,123,131,152.6,131.4,138.8,144.8,129.4,137.8,145.2
50,123,131,152.6,131.4,138.8,144.8,129.4,137.8,145.2,132.6,136.2,146.8
51,131.4,138.8,144.8,129.4,137.8,145.2,132.6,136.2,146.8,131.8,130.6,135.8
52,129.4,137.8,145.2,132.6,136.2,146.8,131.8,130.6,135.8,100.2,102.6,104.8
53,132.6,136.2,146.8,131.8,130.6,135.8,100.2,102.6,104.8,67.4,73,71.4
54,131.8,130.6,135.8,100.2,102.6,104.8,67.4,73,71.4,131.4,142.6,154.4
55,100.2,102.6,104.8,67.4,73,71.4,131.4,142.6,154.4,139.8,141.6,149.2
56,67.4,73,71.4,131.4,142.6,154.4,139.8,141.6,149.2,132.4,139,144
57,131.4,142.6,154.4,139.8,141.6,149.2,132.4,139,144,121.8,128.2,145.8
58,139.8,141.6,149.2,132.4,139,144,121.8,128.2,145.8,127.8,126,124.2
59,132.4,139,144,121.8,128.2,145.8,127.8,126,124.2,103.6,103.4,104
60,121.8,128.2,145.8,127.8,126,124.2,103.6,103.4,104,65.8,64,68.2
61,127.8,126,124.2,103.6,103.4,104,65.8,64,68.2,127.4,136.6,148.4
62,103.6,103.4,104,65.8,64,68.2,127.4,136.6,148.4,131.6,135,143.4
63,65.8,64,68.2,127.4,136.6,148.4,131.6,135,143.4,122.2,133,140.8
64,127.4,136.6,148.4,131.6,135,143.4,122.2,133,140.8,125.8,126.8,138.8
65,131.6,135,143.4,122.2,133,140.8,125.8,126.8,138.8,124,123.8,131.2
66,122.2,133,140.8,125.8,126.8,138.8,124,123.8,131.2,95,96.4,101.2
67,125.8,126.8,138.8,124,123.8,131.2,95,96.4,101.2,57.6,57.8,56
68,124,123.8,131.2,95,96.4,101.2,57.6,57.8,56,117.2,121.8,133.6
69,95,96.4,101.2,57.6,57.8,56,117.2,121.8,133.6,120.2,124.8,137.2
70,57.6,57.8,56,117.2,121.8,133.6,120.2,124.8,137.2,123.4,128.2,136
71,117.2,121.8,133.6,120.2,124.8,137.2,123.4,128.2,136,115,127.8,134.6
72,120.2,124.8,137.2,123.4,128.2,136,115,127.8,134.6,114,120,123
73,123.4,128.2,136,115,127.8,134.6,114,120,123,92.8,97.2,97.4
74,115,127.8,134.6,114,120,123,92.8,97.2,97.4,68.4,73,70.6
75,114,120,123,92.8,97.2,97.4,68.4,73,70.6,139.2,148.8,156.4
76,92.8,97.2,97.4,68.4,73,70.6,139.2,148.8,156.4,128.6,140,145.4
77,68.4,73,70.6,139.2,148.8,156.4,128.6,140,145.4,124.6,129.6,131.6
78,139.2,148.8,156.4,128.6,140,145.4,124.6,129.6,131.6,120.8,126.6,136.6
79,128.6,140,145.4,124.6,129.6,131.6,120.8,126.6,136.6,118.4,127.6,131.2
80,124.6,129.6,131.6,120.8,126.6,136.6,118.4,127.6,131.2,98.4,104,104.4
81,120.8,126.6,136.6,118.4,127.6,131.2,98.4,104,104.4,63.2,63.4,62.6
82,118.4,127.6,131.2,98.4,104,104.4,63.2,63.4,62.6,122.4,131.4,141
83,98.4,104,104.4,63.2,63.4,62.6,122.4,131.4,141,127.8,140,138.8
84,63.2,63.4,62.6,122.4,131.4,141,127.8,140,138.8,125.6,134.6,141.2
85,122.4,131.4,141,127.8,140,138.8,125.6,134.6,141.2,126.4,133.8,134.6
86,127.8,140,138.8,125.6,134.6,141.2,126.4,133.8,134.6,98.4,94,96.6
87,125.6,134.6,141.2,126.4,133.8,134.6,98.4,94,96.6,93.8,97.2,97.6
88,126.4,133.8,134.6,98.4,94,96.6,93.8,97.2,97.6,61.2,64.4,63.2
89,98.4,94,96.6,93.8,97.2,97.6,61.2,64.4,63.2,99.2,98.8,96
90,93.8,97.2,97.6,61.2,64.4,63.2,99.2,98.8,96,129.2,138.4,145
91,61.2,64.4,63.2,99.2,98.8,96,129.2,138.4,145,127.6,133.8,140.4
92,99.2,98.8,96,129.2,138.4,145,127.6,133.8,140.4,122.6,131,132.2
93,129.2,138.4,145,127.6,133.8,140.4,122.6,131,132.2,124.6,129.8,131.4
94,127.6,133.8,140.4,122.6,131,132.2,124.6,129.8,131.4,91.6,92.6,92.2
95,122.6,131,132.2,124.6,129.8,131.4,91.6,92.6,92.2,58,58.8,60.2
96,124.6,129.8,131.4,91.6,92.6,92.2,58,58.8,60.2,123.4,135,140.6
97,91.6,92.6,92.2,58,58.8,60.2,123.4,135,140.6,126,136.4,138
98,58,58.8,60.2,123.4,135,140.6,126,136.4,138,122.8,128.2,131
99,123.4,135,140.6,126,136.4,138,122.8,128.2,131,123.8,134.8,137.4
100,126,136.4,138,122.8,128.2,131,123.8,134.8,137.4,128.2,137.8,138
101,122.8,128.2,131,123.8,134.8,137.4,128.2,137.8,138,94,94.6,96
102,123.8,134.8,137.4,128.2,137.8,138,94,94.6,96,56,59,57.6
103,128.2,137.8,138,94,94.6,96,56,59,57.6,109.4,117.6,121.4
104,94,94.6,96,56,59,57.6,109.4,117.6,121.4,112.2,117.6,119.4
105,56,59,57.6,109.4,117.6,121.4,112.2,117.6,119.4,109.2,121.6,123.6
106,109.4,117.6,121.4,112.2,117.6,119.4,109.2,121.6,123.6,115.2,120.4,122.8
107,112.2,117.6,119.4,109.2,121.6,123.6,115.2,120.4,122.8,109,112.8,120.8
108,109.2,121.6,123.6,115.2,120.4,122.8,109,112.8,120.8,91.6,94,96
109,115.2,120.4,122.8,109,112.8,120.8,91.6,94,96,58.8,60,61
110,109,112.8,120.8,91.6,94,96,58.8,60,61,112.8,117.6,117.6
111,91.6,94,96,58.8,60,61,112.8,117.6,117.6,113.8,117.2,121.2
112,58.8,60,61,112.8,117.6,117.6,113.8,117.2,121.2,111.4,116.4,119.8
113,112.8,117.6,117.6,113.8,117.2,121.2,111.4,116.4,119.8,114.4,117.4,119.4
114,113.8,117.2,121.2,111.4,116.4,119.8,114.4,117.4,119.4,110.4,113.4,118.2
115,111.4,116.4,119.8,114.4,117.4,119.4,110.4,113.4,118.2,91.4,93.4,97
116,114.4,117.4,119.4,110.4,113.4,118.2,91.4,93.4,97,59.8,61.8,63.8
117,110.4,113.4,118.2,91.4,93.4,97,59.8,61.8,63.8,133,139.2,143
118,91.4,93.4,97,59.8,61.8,63.8,133,139.2,143,110.6,115.4,122.2
119,59.8,61.8,63.8,133,139.2,143,110.6,115.4,122.2,109.2,123.4,122.8
